"ZIP
code [1]",Size of adjusted gross income,Adjusted gross income (AGI) [5]
,,
,,(17)
12886,"$100,000 under $200,000",2717
12886,"$200,000 or more",** 
,,
12887,,"98,332"
12887,"$1 under $25,000",10059
12887,"$25,000 under $50,000",22110
12887,"$50,000 under $75,000",19509
12887,"$75,000 under $100,000",19944
12887,"$100,000 under $200,000",26710
12887,"$200,000 or more",** 
,,
12901,,"768,567"
12901,"$1 under $25,000",67100
12901,"$25,000 under $50,000",141940
12901,"$50,000 under $75,000",118685
12901,"$75,000 under $100,000",108252
12901,"$100,000 under $200,000",208399
12901,"$200,000 or more",124191
,,
12903,,"58,174"
12903,"$1 under $25,000",2451
12903,"$25,000 under $50,000",7906
12903,"$50,000 under $75,000",12569
12903,"$75,000 under $100,000",9912
12903,"$100,000 under $200,000",17782
12903,"$200,000 or more",7554
,,
12910,,"36,333"
12910,"$1 under $25,000",3249
12910,"$25,000 under $50,000",7842
12910,"$50,000 under $75,000",6534
12910,"$75,000 under $100,000",7882
12910,"$100,000 under $200,000",10826
12910,"$200,000 or more",** 
,,
12912,,"45,997"
12912,"$1 under $25,000",4415
12912,"$25,000 under $50,000",10578
12912,"$50,000 under $75,000",10000
12912,"$75,000 under $100,000",7885
12912,"$100,000 under $200,000",13119
12912,"$200,000 or more",** 
,,
12913,,"28,488"
12913,"$1 under $25,000",2068
12913,"$25,000 under $50,000",5320
12913,"$50,000 under $75,000",4694
12913,"$75,000 under $100,000",5215
12913,"$100,000 under $200,000",11191
12913,"$200,000 or more",** 
,,
12914,,"14,601"
12914,"$1 under $25,000",1676
12914,"$25,000 under $50,000",3399
12914,"$50,000 under $75,000",3104
12914,"$75,000 under $100,000",2968
12914,"$100,000 under $200,000",3454
12914,"$200,000 or more",** 
,,
12916,,"41,873"
12916,"$1 under $25,000",4335
12916,"$25,000 under $50,000",10533
12916,"$50,000 under $75,000",9216
12916,"$75,000 under $100,000",6593
12916,"$100,000 under $200,000",11196
12916,"$200,000 or more",** 
,,
12917,,"28,312"
12917,"$1 under $25,000",2932
12917,"$25,000 under $50,000",5150
12917,"$50,000 under $75,000",6229
12917,"$75,000 under $100,000",5545
12917,"$100,000 under $200,000",8456
12917,"$200,000 or more",** 
,,
12918,,"65,969"
12918,"$1 under $25,000",4466
12918,"$25,000 under $50,000",10933
12918,"$50,000 under $75,000",12246
12918,"$75,000 under $100,000",12168
12918,"$100,000 under $200,000",26156
12918,"$200,000 or more",** 
,,
12919,,"79,871"
12919,"$1 under $25,000",7021
12919,"$25,000 under $50,000",15173
12919,"$50,000 under $75,000",15688
12919,"$75,000 under $100,000",15769
12919,"$100,000 under $200,000",26220
12919,"$200,000 or more",** 
,,
12920,,"54,016"
12920,"$1 under $25,000",4324
12920,"$25,000 under $50,000",10001
12920,"$50,000 under $75,000",11184
12920,"$75,000 under $100,000",8939
12920,"$100,000 under $200,000",19568
12920,"$200,000 or more",** 
,,
12921,,"74,251"
12921,"$1 under $25,000",5549
12921,"$25,000 under $50,000",11169
12921,"$50,000 under $75,000",10340
12921,"$75,000 under $100,000",12836
12921,"$100,000 under $200,000",23382
12921,"$200,000 or more",10975
,,
12923,,"10,853"
12923,"$1 under $25,000",1184
12923,"$25,000 under $50,000",2372
12923,"$50,000 under $75,000",2301
12923,"$75,000 under $100,000",2183
12923,"$100,000 under $200,000",2813
12923,"$200,000 or more",0
,,
12926,,"36,286"
12926,"$1 under $25,000",4904
12926,"$25,000 under $50,000",8899
12926,"$50,000 under $75,000",9218
12926,"$75,000 under $100,000",5657
12926,"$100,000 under $200,000",7608
12926,"$200,000 or more",** 
,,
12928,,"42,926"
12928,"$1 under $25,000",3748
12928,"$25,000 under $50,000",8640
12928,"$50,000 under $75,000",9020
12928,"$75,000 under $100,000",6891
12928,"$100,000 under $200,000",14627
12928,"$200,000 or more",** 
,,
12930,,"12,741"
12930,"$1 under $25,000",1550
12930,"$25,000 under $50,000",3141
12930,"$50,000 under $75,000",2613
12930,"$75,000 under $100,000",2777
12930,"$100,000 under $200,000",2660
12930,"$200,000 or more",** 
,,
12932,,"35,664"
12932,"$1 under $25,000",2602
12932,"$25,000 under $50,000",6163
12932,"$50,000 under $75,000",5797
12932,"$75,000 under $100,000",5118
12932,"$100,000 under $200,000",8742
12932,"$200,000 or more",7242
,,
12934,,"19,743"
12934,"$1 under $25,000",2186
12934,"$25,000 under $50,000",4148
12934,"$50,000 under $75,000",5041
12934,"$75,000 under $100,000",3422
12934,"$100,000 under $200,000",4946
12934,"$200,000 or more",** 
,,
12935,,"33,250"
12935,"$1 under $25,000",2803
12935,"$25,000 under $50,000",7402
12935,"$50,000 under $75,000",6114
12935,"$75,000 under $100,000",6811
12935,"$100,000 under $200,000",10120
12935,"$200,000 or more",** 
,,
12936,,"18,857"
12936,"$1 under $25,000",1299
12936,"$25,000 under $50,000",2520
12936,"$50,000 under $75,000",3201
12936,"$75,000 under $100,000",2533
12936,"$100,000 under $200,000",9304
12936,"$200,000 or more",** 
,,
12937,,"23,934"
12937,"$1 under $25,000",3155
12937,"$25,000 under $50,000",5555
12937,"$50,000 under $75,000",5152
12937,"$75,000 under $100,000",3634
12937,"$100,000 under $200,000",6438
12937,"$200,000 or more",** 
,,
12941,,"35,177"
12941,"$1 under $25,000",2435
12941,"$25,000 under $50,000",5676
12941,"$50,000 under $75,000",7033
12941,"$75,000 under $100,000",6158
12941,"$100,000 under $200,000",13875
12941,"$200,000 or more",** 
,,
12942,,"25,900"
12942,"$1 under $25,000",1139
12942,"$25,000 under $50,000",1993
12942,"$50,000 under $75,000",2902
12942,"$75,000 under $100,000",2952
12942,"$100,000 under $200,000",16914
12942,"$200,000 or more",** 
,,
12943,,"12,920"
12943,"$1 under $25,000",907
12943,"$25,000 under $50,000",1748
12943,"$50,000 under $75,000",2022
12943,"$75,000 under $100,000",1775
12943,"$100,000 under $200,000",6468
12943,"$200,000 or more",** 
,,
12944,,"86,629"
12944,"$1 under $25,000",8577
12944,"$25,000 under $50,000",18404
12944,"$50,000 under $75,000",16761
12944,"$75,000 under $100,000",14858
12944,"$100,000 under $200,000",21695
12944,"$200,000 or more",6334
,,
12945,,"18,196"
12945,"$1 under $25,000",1347
12945,"$25,000 under $50,000",2568
12945,"$50,000 under $75,000",4047
12945,"$75,000 under $100,000",3297
12945,"$100,000 under $200,000",6937
12945,"$200,000 or more",** 
,,
12946,,"213,550"
12946,"$1 under $25,000",11218
12946,"$25,000 under $50,000",26082
12946,"$50,000 under $75,000",23686
12946,"$75,000 under $100,000",19325
12946,"$100,000 under $200,000",41303
12946,"$200,000 or more",91936
,,
12950,,"16,252"
12950,"$1 under $25,000",1885
12950,"$25,000 under $50,000",3683
12950,"$50,000 under $75,000",2969
12950,"$75,000 under $100,000",3311
12950,"$100,000 under $200,000",4404
12950,"$200,000 or more",** 
,,
12952,,"11,810"
12952,"$1 under $25,000",1290
12952,"$25,000 under $50,000",2870
12952,"$50,000 under $75,000",2883
12952,"$75,000 under $100,000",4767
12952,"$100,000 under $200,000",** 
12952,"$200,000 or more",** 
,,
12953,,"245,674"
12953,"$1 under $25,000",23724
12953,"$25,000 under $50,000",43228
12953,"$50,000 under $75,000",45322
12953,"$75,000 under $100,000",37977
12953,"$100,000 under $200,000",61645
12953,"$200,000 or more",33778
,,
12955,,"7,149"
12955,"$1 under $25,000",587
12955,"$25,000 under $50,000",1426
12955,"$50,000 under $75,000",1730
12955,"$75,000 under $100,000",3406
12955,"$100,000 under $200,000",** 
12955,"$200,000 or more",0
,,
12956,,"22,295"
12956,"$1 under $25,000",1947
12956,"$25,000 under $50,000",5829
12956,"$50,000 under $75,000",5241
12956,"$75,000 under $100,000",4696
12956,"$100,000 under $200,000",4582
12956,"$200,000 or more",** 
,,
12957,,"28,126"
12957,"$1 under $25,000",3696
12957,"$25,000 under $50,000",7847
12957,"$50,000 under $75,000",5959
12957,"$75,000 under $100,000",5499
12957,"$100,000 under $200,000",5125
12957,"$200,000 or more",** 
,,
12958,,"42,080"
12958,"$1 under $25,000",3503
12958,"$25,000 under $50,000",8040
12958,"$50,000 under $75,000",7909
12958,"$75,000 under $100,000",7828
12958,"$100,000 under $200,000",14800
12958,"$200,000 or more",** 
,,
12959,,"29,217"
12959,"$1 under $25,000",2715
12959,"$25,000 under $50,000",6909
12959,"$50,000 under $75,000",5665
12959,"$75,000 under $100,000",5144
12959,"$100,000 under $200,000",8784
12959,"$200,000 or more",** 
,,
12960,,"24,616"
12960,"$1 under $25,000",2008
12960,"$25,000 under $50,000",5663
12960,"$50,000 under $75,000",4800
12960,"$75,000 under $100,000",3545
12960,"$100,000 under $200,000",8600
12960,"$200,000 or more",** 
,,
12961,,"5,691"
12961,"$1 under $25,000",449
12961,"$25,000 under $50,000",2063
12961,"$50,000 under $75,000",** 
12961,"$75,000 under $100,000",3179
12961,"$100,000 under $200,000",** 
12961,"$200,000 or more",0
,,
12962,,"164,105"
12962,"$1 under $25,000",9470
12962,"$25,000 under $50,000",23500
12962,"$50,000 under $75,000",27582
12962,"$75,000 under $100,000",26808
12962,"$100,000 under $200,000",59260
12962,"$200,000 or more",17485
,,
12965,,"9,219"
12965,"$1 under $25,000",1254
12965,"$25,000 under $50,000",1833
12965,"$50,000 under $75,000",1966
12965,"$75,000 under $100,000",4166
12965,"$100,000 under $200,000",** 
12965,"$200,000 or more",** 
,,
12966,,"55,077"
12966,"$1 under $25,000",6124
12966,"$25,000 under $50,000",13043
12966,"$50,000 under $75,000",12505
12966,"$75,000 under $100,000",9890
12966,"$100,000 under $200,000",13515
12966,"$200,000 or more",** 
,,
12967,,"21,764"
12967,"$1 under $25,000",2428
12967,"$25,000 under $50,000",3927
12967,"$50,000 under $75,000",4496
12967,"$75,000 under $100,000",4164
12967,"$100,000 under $200,000",6749
12967,"$200,000 or more",** 
,,
12969,,"8,802"
12969,"$1 under $25,000",877
12969,"$25,000 under $50,000",1732
12969,"$50,000 under $75,000",1694
12969,"$75,000 under $100,000",4499
12969,"$100,000 under $200,000",** 
12969,"$200,000 or more",** 
,,
12970,,"7,700"
12970,"$1 under $25,000",576
12970,"$25,000 under $50,000",1664
12970,"$50,000 under $75,000",2060
12970,"$75,000 under $100,000",3400
12970,"$100,000 under $200,000",** 
12970,"$200,000 or more",** 
,,
12972,,"194,481"
12972,"$1 under $25,000",12225
12972,"$25,000 under $50,000",24293
12972,"$50,000 under $75,000",31426
12972,"$75,000 under $100,000",30393
12972,"$100,000 under $200,000",69931
12972,"$200,000 or more",26213
,,
12974,,"28,955"
12974,"$1 under $25,000",2830
12974,"$25,000 under $50,000",6897
12974,"$50,000 under $75,000",6343
12974,"$75,000 under $100,000",5886
12974,"$100,000 under $200,000",6999
12974,"$200,000 or more",** 
,,
12978,,"9,040"
12978,"$1 under $25,000",743
12978,"$25,000 under $50,000",1762
12978,"$50,000 under $75,000",2620
12978,"$75,000 under $100,000",3915
12978,"$100,000 under $200,000",** 
12978,"$200,000 or more",0
,,
12979,,"64,670"
12979,"$1 under $25,000",4844
12979,"$25,000 under $50,000",10864
12979,"$50,000 under $75,000",10378
12979,"$75,000 under $100,000",11811
12979,"$100,000 under $200,000",19952
12979,"$200,000 or more",6821
,,
12980,,"23,454"
12980,"$1 under $25,000",2636
12980,"$25,000 under $50,000",5666
12980,"$50,000 under $75,000",4952
12980,"$75,000 under $100,000",4363
12980,"$100,000 under $200,000",5837
12980,"$200,000 or more",** 
,,
12981,,"61,048"
12981,"$1 under $25,000",4357
12981,"$25,000 under $50,000",11325
12981,"$50,000 under $75,000",10910
12981,"$75,000 under $100,000",11856
12981,"$100,000 under $200,000",22600
12981,"$200,000 or more",** 
,,
12983,,"212,450"
12983,"$1 under $25,000",15812
12983,"$25,000 under $50,000",33644
12983,"$50,000 under $75,000",30838
12983,"$75,000 under $100,000",29946
12983,"$100,000 under $200,000",58402
12983,"$200,000 or more",43808
,,
12985,,"22,279"
12985,"$1 under $25,000",2099
12985,"$25,000 under $50,000",4892
12985,"$50,000 under $75,000",4676
12985,"$75,000 under $100,000",3831
12985,"$100,000 under $200,000",6781
12985,"$200,000 or more",** 
,,
12986,,"140,002"
12986,"$1 under $25,000",10220
12986,"$25,000 under $50,000",26621
12986,"$50,000 under $75,000",33973
12986,"$75,000 under $100,000",21577
12986,"$100,000 under $200,000",36726
12986,"$200,000 or more",10885
,,
12987,,"5,190"
12987,"$1 under $25,000",527
12987,"$25,000 under $50,000",956
12987,"$50,000 under $75,000",1433
12987,"$75,000 under $100,000",2274
12987,"$100,000 under $200,000",** 
12987,"$200,000 or more",** 
,,
12989,,"26,365"
12989,"$1 under $25,000",1498
12989,"$25,000 under $50,000",4354
12989,"$50,000 under $75,000",5013
12989,"$75,000 under $100,000",5044
12989,"$100,000 under $200,000",10456
12989,"$200,000 or more",** 
,,
12992,,"119,403"
12992,"$1 under $25,000",10512
12992,"$25,000 under $50,000",24586
12992,"$50,000 under $75,000",21823
12992,"$75,000 under $100,000",19532
12992,"$100,000 under $200,000",42950
12992,"$200,000 or more",** 
,,
12993,,"45,635"
12993,"$1 under $25,000",2878
12993,"$25,000 under $50,000",7034
12993,"$50,000 under $75,000",7519
12993,"$75,000 under $100,000",6971
12993,"$100,000 under $200,000",12876
12993,"$200,000 or more",8357
,,
12996,,"50,139"
12996,"$1 under $25,000",4067
12996,"$25,000 under $50,000",9473
12996,"$50,000 under $75,000",9806
12996,"$75,000 under $100,000",8034
12996,"$100,000 under $200,000",18759
12996,"$200,000 or more",** 
,,
12997,,"30,735"
12997,"$1 under $25,000",2548
12997,"$25,000 under $50,000",5862
12997,"$50,000 under $75,000",5400
12997,"$75,000 under $100,000",5272
12997,"$100,000 under $200,000",11653
12997,"$200,000 or more",** 
,,
12998,,"8,807"
12998,"$1 under $25,000",1281
12998,"$25,000 under $50,000",2086
12998,"$50,000 under $75,000",2534
12998,"$75,000 under $100,000",2906
12998,"$100,000 under $200,000",** 
12998,"$200,000 or more",** 
,,
13021,,"1,027,669"
13021,"$1 under $25,000",86876
13021,"$25,000 under $50,000",166256
13021,"$50,000 under $75,000",163889
13021,"$75,000 under $100,000",151993
13021,"$100,000 under $200,000",271828
13021,"$200,000 or more",186827
,,
13026,,"39,663"
13026,"$1 under $25,000",2086
13026,"$25,000 under $50,000",5814
13026,"$50,000 under $75,000",5874
13026,"$75,000 under $100,000",7061
13026,"$100,000 under $200,000",12222
13026,"$200,000 or more",6606
,,
13027,,"1,272,831"
13027,"$1 under $25,000",57212
13027,"$25,000 under $50,000",135675
13027,"$50,000 under $75,000",164753
13027,"$75,000 under $100,000",159352
13027,"$100,000 under $200,000",458454
13027,"$200,000 or more",297385
,,
13028,,"28,906"
13028,"$1 under $25,000",2393
13028,"$25,000 under $50,000",5268
13028,"$50,000 under $75,000",6926
13028,"$75,000 under $100,000",5670
13028,"$100,000 under $200,000",8649
13028,"$200,000 or more",** 
,,
13029,,"276,998"
13029,"$1 under $25,000",11990
13029,"$25,000 under $50,000",26931
13029,"$50,000 under $75,000",33268
13029,"$75,000 under $100,000",34752
13029,"$100,000 under $200,000",91721
13029,"$200,000 or more",78336
,,
13030,,"133,460"
13030,"$1 under $25,000",8101
13030,"$25,000 under $50,000",19758
13030,"$50,000 under $75,000",18685
13030,"$75,000 under $100,000",20107
13030,"$100,000 under $200,000",34135
13030,"$200,000 or more",32674
,,
13031,,"606,916"
13031,"$1 under $25,000",28691
13031,"$25,000 under $50,000",67753
13031,"$50,000 under $75,000",87775
13031,"$75,000 under $100,000",81091
13031,"$100,000 under $200,000",214849
13031,"$200,000 or more",126757
,,
13032,,"314,715"
13032,"$1 under $25,000",26426
13032,"$25,000 under $50,000",57652
13032,"$50,000 under $75,000",58820
13032,"$75,000 under $100,000",51231
13032,"$100,000 under $200,000",84811
13032,"$200,000 or more",35775
,,
13033,,"91,905"
13033,"$1 under $25,000",6983
13033,"$25,000 under $50,000",16531
13033,"$50,000 under $75,000",18860
13033,"$75,000 under $100,000",17371
13033,"$100,000 under $200,000",32160
13033,"$200,000 or more",** 
,,
13034,,"51,992"
13034,"$1 under $25,000",3318
13034,"$25,000 under $50,000",7401
13034,"$50,000 under $75,000",9701
13034,"$75,000 under $100,000",8296
13034,"$100,000 under $200,000",23276
13034,"$200,000 or more",** 
,,
13035,,"454,704"
13035,"$1 under $25,000",11979
13035,"$25,000 under $50,000",22220
13035,"$50,000 under $75,000",31823
13035,"$75,000 under $100,000",36677
13035,"$100,000 under $200,000",111787
13035,"$200,000 or more",240218
,,
13036,,"227,218"
13036,"$1 under $25,000",17378
13036,"$25,000 under $50,000",40967
13036,"$50,000 under $75,000",39821
13036,"$75,000 under $100,000",40120
13036,"$100,000 under $200,000",69617
13036,"$200,000 or more",19315
,,
13037,,"280,995"
13037,"$1 under $25,000",17141
13037,"$25,000 under $50,000",40729
13037,"$50,000 under $75,000",38941
13037,"$75,000 under $100,000",41967
13037,"$100,000 under $200,000",100181
13037,"$200,000 or more",42036
,,
13039,,"648,135"
13039,"$1 under $25,000",29315
13039,"$25,000 under $50,000",65541
13039,"$50,000 under $75,000",84077
